year,membrane,chloride_wc_0.4,chloride_wc_0.35_SF,membrane + chloride_wc_0.4,membrane with maintenance + chloride_wc_0.4,membrane + chloride_wc_0.37_SF,membrane with maintenance + chloride_wc_0.37_SF
0,2.1124547025028537e-06,0.04054690084445969,0.022732442814513615,8.565349141065326e-08,2.120525977034049e-13,4.802125574965288e-08,1.1890488593735427e-13
1,2.1124547025028537e-06,0.04054690084445969,0.022732442814513615,8.565349141065326e-08,2.120525977034049e-13,4.802125574965288e-08,1.1890488593735427e-13
2,1.334574901590631e-05,0.06590770753778323,0.035126349719315046,4.2411285305909985e-07,7.334133300673784e-13,2.1342734635165783e-07,3.737010700888277e-13
3,7.234804392511998e-05,0.08917702813141754,0.04576575939431284,2.107628537251216e-06,2.5410784587620583e-12,9.831748838395882e-07,1.2002621119222567e-12
4,0.00033692926567688086,0.11190221828014409,0.0562144113214752,9.765333021771738e-06,8.95672425116345e-12,4.503869044047981e-06,4.150013666048835e-12
5,0.0013498980316300933,0.13226522157943515,0.06641622414102437,3.727431828415284e-05,2.9046653970965508e-11,1.828058024722079e-05,1.4214962540393117e-11
6,0.004661188023718747,0.15277337813106387,0.07628916760096376,0.00013319212258289248,9.704637093932433e-11,6.438172091738359e-05,4.695122068909541e-11
7,0.013903447513498595,0.17352170904731848,0.08598532930945527,0.00042524099706553464,3.1941849165662006e-10,0.00020007423773038546,1.508706493069667e-10
8,0.03593031911292579,0.19242254216343957,0.09492646516091097,0.0011321850033946257,9.492026054047642e-10,0.0005281186053492926,4.4879333582770187e-10
9,0.08075665923377107,0.21159833546853574,0.10408582722066187,0.002838025713315595,2.859960601675482e-09,0.0013058087157331588,1.3614712690568354e-09
10,0.15865525393145707,0.22874073027336528,0.11268554625624586,0.006204049842386983,7.773857779724835e-09,0.0028259648312815022,3.826594818789886e-09
11,0.2742531177500736,0.2461127567527482,0.1222303978075137,0.012957600608864417,2.1555599083455945e-08,0.005927147444245606,1.139879990397219e-08
12,0.42074029056089696,0.2622786301675482,0.13065771617948757,0.024368152361406548,5.570546002253707e-08,0.010586502108130946,2.9201174256421325e-08
13,0.579259709439103,0.2790742659533673,0.14049445679140643,0.04240813319987047,1.4661392888637437e-07,0.01831690903012384,8.244330551576695e-08
14,0.7257468822499265,0.295416226114846,0.14805330316345014,0.06596673611603932,3.647186538335845e-07,0.026542526559328428,1.8332404283505355e-07
15,0.8413447460685429,0.3084568240683787,0.15832292636332002,0.0895482190783442,7.777849505563594e-07,0.03845242624515888,5.085899503765035e-07
16,0.9192433407662289,0.3233661138621936,0.16444838825937488,0.11518136076390872,1.8567461413931952e-06,0.04676690884362733,9.518337544811573e-07
17,0.9640696808870742,0.3351989272116516,0.1739621576758948,0.13544240756436088,3.7409852546854694e-06,0.05845530264248222,2.4659676786109586e-06
18,0.9860965524865014,0.3492346477905237,0.1819512786977471,0.15636931574832347,8.477278765073315e-06,0.0681452823283929,5.159700678936119e-06
19,0.9953388119762813,0.35853116714232447,0.1888720404195017,0.1697581537938201,1.4896101885431001e-05,0.07632691935237756,9.923755870056006e-06
20,0.9986501019683699,0.37093941364909555,0.1982879308728504,0.18632230276202721,3.1768858547942536e-05,0.0871640686195072,2.2669281417919684e-05
21,0.9996630707343231,0.3842508884533269,0.20363424036229938,0.20370749078639694,6.623651256387753e-05,0.09329387835080527,3.645752287340098e-05
22,0.9999276519560749,0.3967495916419413,0.21219570434346466,0.21991851158761333,0.00012604665665727488,0.10305304466566478,7.680782463037605e-05
23,0.9999866542509841,0.40432886214765573,0.21963383915330117,0.2297311388671761,0.00019294368741173962,0.11152451369564931,0.00013919017475139128
24,0.9999978875452975,0.41537550798394984,0.22554594100788697,0.24401795737411103,0.0003603765485912236,0.11825625247966887,0.0002254620158161913
25,0.9999997133484281,0.4245757738253506,0.23293900416902533,0.2559152809521923,0.000606511514562813,0.1266736219074165,0.00040475115771809733
26,0.9999999666795515,0.4345505077968744,0.23980673870635086,0.26881373004104314,0.0010563548076887308,0.13449279847670204,0.0006793091477746982
27,0.999999996684254,0.444347644824274,0.2456104005589653,0.28148247624590983,0.0018037807278967755,0.14110047687180904,0.001061281459795338
28,0.9999999997176842,0.45237689810913606,0.2533362554970683,0.2918651544714065,0.002898286610355627,0.14989663906716266,0.001825107345375665
